id,name
R1,"CONDOMINIUMS: 2-10 Unit Residential Bldg, Residential Unit"
R2,"CONDOMINIUMS: Walk-up, Residential Unit"
R3,"CONDOMINIUMS: 1-3 Story, Residential Unit"
R4,"CONDOMINIUMS: Apartment/Elevated, Residential Unit"
R5,CONDOMINIUMS: Miscellaneous Commercial
R6,"CONDOMINIUMS: 1-3 Units, Residential Unit"
R7,"CONDOMINIUMS: 1-3 Units, Commercial Unit"
R8,"CONDOMINIUMS: 2-10 Unit Residential Bldg, Commercial Unit"
R9,CONDOMINIUMS: Condop
RA,"CONDOMINIUMS: Cultural, Medical, Educational, etc."
RB,CONDOMINIUMS: Office Buildings
RC,CONDOMINIUMS: Commercial Building (Mixed Commercial Condo Building Classification Codes)
RD,CONDOMINIUMS: Residential Building (Mixed Residential Condo Building Classification Codes)
RG,CONDOMINIUMS: Indoor Parking
RH,CONDOMINIUMS: Hotel/Boatel
RI,CONDOMINIUMS: Mixed Warehouse/Factory/Industrial & Commercial
RK,CONDOMINIUMS: Store Buildings - Retail
RM,CONDOMINIUMS: Mixed Residential & Commercial Building (Mixed Residential & Commercial)
RR,CONDOMINIUMS: Condominium Rental
RS,CONDOMINIUMS: Non-Business Storage Space
RW,CONDOMINIUMS: Warehouse/Factory/Industrial
RX,"CONDOMINIUMS: Mixed Residential, Commercial & Industrial"
RZ,CONDOMINIUMS: Mixed Residential & Warehouse
S0,RESIDENCE MULTIPLE USE: Primarily One Family with Two Stores or Offices
S1,RESIDENCE MULTIPLE USE: Primarily One Family With Store or Office
S2,RESIDENCE MULTIPLE USE: Primarily Two Family With Store or Office
S3,RESIDENCE MULTIPLE USE: Primarily Three Family With Store or Office
S4,RESIDENCE MULTIPLE USE: Primarily Four Family With Store or Office
S5,RESIDENCE MULTIPLE USE: Primarily Five to Six Family With Store or Office
S9,RESIDENCE MULTIPLE USE: Primarily One to Six Families with Stores or Offices
T1,"TRANSPORTATION FACILITIES: Airports, Air Fields, Terminals"
T2,"TRANSPORTATION FACILITIES: Piers, Docks, Bulkheads"
T9,TRANSPORTATION FACILITIES: Miscellaneous
U0,UTILITY: Utility Company Land and Buildings
U1,"UTILITY: Bridges, Tunnels, Highways"
U2,"UTILITY: Electric Utilities, Gas"
U3,UTILITY: Ceiling R. R.
U4,UTILITY: Telephone Utilities
U5,UTILITY: Communications Facilities (Other Than Telephone)
U6,"UTILITY: Railroads, Private Ownership"
U7,"UTILITY: Transportation, Public Ownership"
U8,UTILITY: Revocable Consents
U9,UTILITY: Miscellaneous (Including Private Improvements in City Land and in Public Places)
V0,"VACANT LAND: Zoned Residential, Except Not Manhattan Below 110 St"
V1,VACANT LAND: Not Zoned Residential or Manhattan Below 110 St
V2,"VACANT LAND: Not Zoned Residential, but Adjacent to Tax Class 1 Dwelling"
V3,"VACANT LAND: Zoned Primarily Residential, Except Not Manhattan Below 110 St"
V4,VACANT LAND: Police or Fire Department
V5,VACANT LAND: School Site or Yard
V6,"VACANT LAND: Library, Hospitals or Museums"
V7,VACANT LAND: Port Authority of NY and NJ
V8,VACANT LAND: State & U.S.
V9,VACANT LAND: Miscellaneous (Department of Real Estate and Other Public Places)
W1,EDUCATIONAL STRUCTURES: Public Elementary Junior and Senior High Schools
W2,"EDUCATIONAL STRUCTURES: Parochial Schools, Yeshivas"
W3,EDUCATIONAL STRUCTURES: Schools or Academies
W4,EDUCATIONAL STRUCTURES: Training Schools
W5,EDUCATIONAL STRUCTURES: City University
W6,EDUCATIONAL STRUCTURES: Other Colleges and Universities
W7,EDUCATIONAL STRUCTURES: Theological Seminaries
W8,EDUCATIONAL STRUCTURES: Other Private Schools
W9,EDUCATIONAL STRUCTURES: Miscellaneous
Y1,GOVERNMENT: Fire Department
Y2,GOVERNMENT: Police Department
Y3,"GOVERNMENT: Prisons, Jails, Houses of Detention "
Y4,GOVERNMENT: Military and Naval
Y5,GOVERNMENT: Department of Real Estate
Y6,GOVERNMENT: Department of Sanitation
Y7,GOVERNMENT: Department of Ports and Terminals
Y8,GOVERNMENT: Department of Public Works
Y9,GOVERNMENT: Department of Environmental Protection
Z0,"MISCELLANEOUS: Tennis Court, Pool, Shed, etc. Used in Conjunction with Tax Class 1"
Z1,MISCELLANEOUS: Court House
Z2,MISCELLANEOUS: Public Parking Areas
Z3,MISCELLANEOUS: Post Office
Z4,MISCELLANEOUS: Foreign Governments
Z5,MISCELLANEOUS: United Nations
Z6,MISCELLANEOUS: Land under Water
Z7,MISCELLANEOUS: Easements
Z8,MISCELLANEOUS: Cemeteries
Z9,MISCELLANEOUS: Other
